;director_name;actor_1_name;actor_2_name;actor_3_name;movie_title;imdb_score;title_year
2025;Herbert Ross;Dianne Wiest;Chris Penn;Lori Singer;Footloose ;6.5;1984.0
2037;Sidney Lumet;Lena Horne;Diana Ross;Theresa Merritt;The Wiz ;5.2;1978.0
2051;Irvin Kershner;Harrison Ford;Kenny Baker;Anthony Daniels;Star Wars: Episode V - The Empire Strikes Back ;8.8;1980.0
2066;Joseph Sargent;Judith Barsi;Mario Van Peebles;Lynn Whitfield;Jaws: The Revenge ;2.8;1987.0
2079;Mel Brooks;Joan Rivers;Dick Van Patten;Michael Winslow;Spaceballs ;7.1;1987.0
2088;Richard Attenborough;Candice Bergen;Amrish Puri;John Gielgud;Gandhi ;8.1;1982.0
2114;Blake Edwards;Rock Hudson;Vernon Dobtcheff;Jeremy Kemp;Darling Lili ;6.2;1970.0
2123;William Friedkin;Roy Scheider;Joe Spinell;Amidou;Sorcerer ;7.7;1977.0
2132;Clint Eastwood;Clint Eastwood;Warren Clarke;Kenneth Colley;Firefox ;5.9;1982.0
2150;Colin Higgins;Dolly Parton;Barry Corbin;Dom DeLuise;The Best Little Whorehouse in Texas ;5.8;1982.0
2152;Steven Spielberg;Harrison Ford;Karen Allen;William Hootkins;Raiders of the Lost Ark ;8.5;1981.0
2154;Steven Spielberg;Bob Balaban;Teri Garr;Melinda Dillon;Close Encounters of the Third Kind ;7.7;1977.0
2156;Tony Scott;Dean Stockwell;Judge Reinhold;Ronny Cox;Beverly Hills Cop II ;6.4;1987.0
2161;Jeannot Szwarc;Roy Scheider;Murray Hamilton;Joseph Mascolo;Jaws 2 ;5.7;1978.0
2180;William Friedkin;Roy Scheider;Fernando Rey;Tony Lo Bianco;The French Connection ;7.8;1971.0
2193;John Milius;William Smith;Mako;Sandahl Bergman;Conan the Barbarian ;6.9;1982.0
2200;Gary Nelson;Robert Forster;Maximilian Schell;Yvette Mimieux;The Black Hole ;5.9;1979.0
2211;Joshua Logan;Clint Eastwood;Lee Marvin;Ray Walston;Paint Your Wagon ;6.7;1969.0
2242;Alfred Hitchcock;Janet Leigh;Vera Miles;John Gavin;Psycho ;8.5;1960.0
2246;Steve Rash;Mako;Adam Arkin;Billy Barty;Under the Rainbow ;5.4;1981.0
2247;Richard Donner;Matthew Broderick;John Wood;Leo McKern;Ladyhawke ;7.0;1985.0
2266;George Stevens;Martin Landau;Carroll Baker;José Ferrer;The Greatest Story Ever Told ;6.6;1965.0
2290;Neil Jordan;Robert De Niro;Demi Moore;James Russo;We're No Angels ;6.0;1989.0
2299;Bob Fosse;Sammy Davis Jr.;Ricardo Montalban;Ben Vereen;Sweet Charity ;7.0;1969.0
2325;Nancy Walker;Steve Guttenberg;Randy Jones;Caitlyn Jenner;Can't Stop the Music ;4.5;1980.0
2358;Harold Becker;Al Pacino;Michael O'Neill;Ellen Barkin;Sea of Love ;6.8;1989.0
2362;Stanley Kubrick;Scatman Crothers;Shelley Duvall;Joe Turkel;The Shining ;8.4;1980.0
2363;Robert Zemeckis;Lea Thompson;Thomas F. Wilson;J.J. Cohen;Back to the Future ;8.5;1985.0
2375;Roger Donaldson;Liam Neeson;Anthony Hopkins;Laurence Olivier;The Bounty ;7.0;1984.0
2379;Anthony Mann;James Mason;Mel Ferrer;Stephen Boyd;The Fall of the Roman Empire ;6.7;1964.0
2393;Penny Marshall;Tom Hanks;Jon Lovitz;John Heard;Big ;7.3;1988.0
2396;Leonard Nimoy;Leonard Nimoy;Nichelle Nichols;Walter Koenig;Star Trek III: The Search for Spock ;6.6;1984.0
2406;John McTiernan;Shane Black;Bill Duke;Carl Weathers;Predator ;7.8;1987.0
2407;Milos Forman;Jeffrey Jones;F. Murray Abraham;Tom Hulce;Amadeus ;8.3;1984.0
2413;Francis Ford Coppola;Nicolas Cage;Kathleen Turner;Joan Allen;Peggy Sue Got Married ;6.3;1986.0
2418;Edward Zwick;Denzel Washington;Morgan Freeman;Matthew Broderick;Glory ;7.9;1989.0
2420;John Carpenter;Jamie Lee Curtis;Hal Holbrook;Janet Leigh;The Fog ;6.8;1980.0
2422;Mike Nichols;Bob Newhart;Bob Balaban;Martin Balsam;Catch-22 ;7.2;1970.0
2424;Richard Fleischer;Mako;Olivia d'Abo;Grace Jones;Conan the Destroyer ;5.8;1984.0
2425;Martin Scorsese;Robert De Niro;Cathy Moriarty;Frank Vincent;Raging Bull ;8.3;1980.0
2427;Barry Levinson;Nicholas Rowe;Roger Ashton-Griffiths;Freddie Jones;Young Sherlock Holmes ;6.8;1985.0
2438;William A. Fraker;Jason Robards;Richard Farnsworth;Michael Horse;The Legend of the Lone Ranger ;5.0;1981.0
2440;Brian De Palma;Nancy Allen;Dennis Franz;John McMartin;Blow Out ;7.4;1981.0
2444;Jeff Kanew;Craig T. Nelson;Shelley Long;Kellie Martin;Troop Beverly Hills ;5.5;1989.0
2446;Adrian Lyne;David Margulies;Karen Young;Kim Chan;9½ Weeks ;5.9;1986.0
2447;Matthew Robbins;Ian McDiarmid;Ralph Richardson;Albert Salmi;Dragonslayer ;6.7;1981.0
2453;Hal Needham;Barry Bostwick;Michael Beck;Henry Silva;Megaforce ;3.5;1982.0
2462;Mike Marvin;Clint Howard;Randy Quaid;Nick Cassavetes;The Wraith ;5.9;1986.0
2469;George A. Romero;Greg Nicotero;John Amplas;Joseph Pilato;Day of the Dead ;7.2;1985.0
2473;Richard Fleischer;Ernie Reyes Jr.;Brigitte Nielsen;Sandahl Bergman;Red Sonja ;5.0;1985.0
2486;James Cameron;Michael Biehn;Carrie Henn;Jenette Goldstein;Aliens ;8.4;1986.0
2487;George Cukor;Jeremy Brett;Rex Harrison;Theodore Bikel;My Fair Lady ;7.9;1964.0
2492;John Carpenter;Jamie Lee Curtis;Donald Pleasence;P.J. Soles;Halloween ;7.9;1978.0
2514;Nicholas Ray;Ava Gardner;David Niven;John Ireland;55 Days at Peking ;6.8;1963.0
2518;Sidney J. Furie;Jim Broadbent;Margot Kidder;William Hootkins;Superman IV: The Quest for Peace ;3.6;1987.0
2522;Jim Goddard;Victor Wong;Paul Freeman;Clyde Kusatsu;Shanghai Surprise ;3.0;1986.0
2524;Noel Marshall;Tippi Hedren;Melanie Griffith;Zakes Mokae;Roar ;6.4;1981.0
2529;Jack Smight;George Peppard;Jan-Michael Vincent;Paul Winfield;Damnation Alley ;5.2;1977.0
2534;Oliver Stone;Hal Holbrook;Tamara Tunie;James Karen;Wall Street ;7.4;1987.0
2539;Peter Weir;Robin Williams;Josh Charles;Kurtwood Smith;Dead Poets Society ;8.0;1989.0
2541;Rob Reiner;Bruno Kirby;Gretchen Palmer;Harley Jane Kozak;When Harry Met Sally... ;7.6;1989.0
2542;Sidney Lumet;Charlotte Rampling;James Mason;Jack Warden;The Verdict ;7.8;1982.0
2567;Woody Allen;Mike Starr;Don Pardo;Julie Kavner;Radio Days ;7.6;1987.0
2571;Richard Benjamin;Jon Lovitz;Alyson Hannigan;Tony Jay;My Stepmother Is an Alien ;5.2;1988.0
2575;Ronald Neame;Martin Landau;Karl Malden;Brian Keith;Meteor ;4.9;1979.0
2579;Russell Mulcahy;Christopher Lambert;Jon Polito;Celia Imrie;Highlander ;7.2;1986.0
2600;Martin Brest;Judge Reinhold;Ronny Cox;James Russo;Beverly Hills Cop ;7.3;1984.0
2602;Leonard Nimoy;Tom Selleck;Ted Danson;Steve Guttenberg;3 Men and a Baby ;5.9;1987.0
2603;Sydney Pollack;Bill Murray;Sydney Pollack;Teri Garr;Tootsie ;7.4;1982.0
2604;Tony Scott;Tom Cruise;Tom Skerritt;Adrian Pasdar;Top Gun ;6.9;1986.0
2608;Ivan Reitman;Kelly Preston;Tony Jay;Hugh O'Brian;Twins ;6.0;1988.0
2611;Steven Spielberg;Oprah Winfrey;Rae Dawn Chong;Dana Ivey;The Color Purple ;7.8;1985.0
2615;Howard Zieff;Eileen Brennan;Albert Brooks;Alan Oppenheimer;Private Benjamin ;6.1;1980.0
2616;Michael Apted;Sissy Spacek;Beverly D'Angelo;Levon Helm;Coal Miner's Daughter ;7.5;1980.0
2619;John Carpenter;Jamie Lee Curtis;Donald Pleasence;P.J. Soles;Halloween ;7.9;1978.0
2620;Harold Ramis;Beverly D'Angelo;Randy Quaid;Jane Krakowski;National Lampoon's Vacation ;7.4;1983.0
2623;Tim Burton;Catherine O'Hara;Jeffrey Jones;Glenn Shadix;Beetlejuice ;7.5;1988.0
2629;Michael Cimino;Robert De Niro;Meryl Streep;John Savage;The Deer Hunter ;8.2;1978.0
2644;David Lean;Claude Rains;José Ferrer;Jack Hawkins;Lawrence of Arabia ;8.4;1962.0
2651;Rob Reiner;Robin Wright;Carol Kane;André the Giant;The Princess Bride ;8.1;1987.0
2681;Mark L. Lester;Heather Locklear;George C. Scott;David Keith;Firestarter ;6.0;1984.0
2695;Woody Allen;Woody Allen;Larry David;Mia Farrow;New York Stories ;6.4;1989.0
2700;Terry Gilliam;Robert De Niro;Bob Hoskins;Jim Broadbent;Brazil ;8.0;1985.0
2729;Michael Chapman;Curtis Armstrong;Pamela Reed;Mike Muscat;The Clan of the Cave Bear ;5.3;1986.0
2734;Fritz Lang;Brigitte Helm;Gustav Fröhlich;Rudolf Klein-Rogge;Metropolis ;8.3;1927.0
2763;Adrian Lyne;Fred Gwynne;Lois Smith;Anne Archer;Fatal Attraction ;6.9;1987.0
2766;John Cornell;Paul Hogan;Linda Kozlowski;John Meillon;Crocodile Dundee II ;5.5;1988.0
2768;Oliver Stone;Tom Cruise;Tom Berenger;Stephen Baldwin;Born on the Fourth of July ;7.2;1989.0
2772;Ted Kotcheff;Sylvester Stallone;Brian Dennehy;Chris Mulkey;First Blood ;7.7;1982.0
2774;Lewis Gilbert;Caroline Munro;Desmond Llewelyn;Barbara Bach;The Spy Who Loved Me ;7.1;1977.0
2777;Stephen Frears;Keanu Reeves;Peter Capaldi;Swoosie Kurtz;Dangerous Liaisons ;7.7;1988.0
2786;John Boorman;Linda Blair;Richard Burton;Ned Beatty;Exorcist II: The Heretic ;3.7;1977.0
2794;Martin Scorsese;Robert De Niro;Liza Minnelli;Mary Kay Place;New York, New York ;6.7;1977.0
2810;James Fargo;Christopher Lee;Joseph Cotten;Behrouz Vossoughi;Caravans ;6.5;1978.0
2832;Barry Levinson;Robin Williams;J.T. Walsh;Bruno Kirby;Good Morning, Vietnam ;7.3;1987.0
2837;Francis Ford Coppola;Robert De Niro;Al Pacino;Robert Duvall;The Godfather: Part II ;9.0;1974.0
2839;Renny Harlin;Tuesday Knight;Rodney Eastman;Brooke Bundy;A Nightmare on Elm Street 4: The Dream Master ;5.7;1988.0
2842;Christopher Cain;Jack Palance;Patrick Wayne;Brian Keith;Young Guns ;6.8;1988.0
2895;Jean-Jacques Annaud;Rae Dawn Chong;Everett McGill;Gary Schwartz;Quest for Fire ;7.4;1981.0
2902;Paul Schrader;Ed Begley Jr.;Ruby Dee;John Heard;Cat People ;6.1;1982.0
2904;John Cromwell;David Niven;Mary Astor;Ronald Colman;The Prisoner of Zenda ;7.8;1937.0
2913;Don Bluth;Judith Barsi;Gabriel Damon;Bill Erwin;The Land Before Time ;7.3;1988.0
2916;William Friedkin;Ellen Burstyn;Linda Blair;Lee J. Cobb;The Exorcist ;8.0;1973.0
2917;Steven Spielberg;Roy Scheider;Robert Shaw;Murray Hamilton;Jaws ;8.0;1975.0
2920;Michael Ritchie;Victor Wong;Randall 'Tex' Cobb;Charlotte Lewis;The Golden Child ;5.9;1986.0
2923;Nicholas Meyer;Leonard Nimoy;Kirstie Alley;Nichelle Nichols;Star Trek II: The Wrath of Khan ;7.7;1982.0
2925;John Badham;Matthew Broderick;Barry Corbin;Ally Sheedy;WarGames ;7.1;1983.0
2926;Peter Weir;Harrison Ford;Viggo Mortensen;Lukas Haas;Witness ;7.4;1985.0
2933;Barbra Streisand;Miriam Margolyes;Amy Irving;Steven Hill;Yentl ;6.6;1983.0
2934;Terry Gilliam;Shelley Duvall;Michael Palin;Kenny Baker;Time Bandits ;7.0;1981.0
2937;Franklin J. Schaffner;George C. Scott;Karl Malden;Bill Hickman;Patton ;8.0;1970.0
2950;John Frankenheimer;Talia Shire;Richard Dysart;Robert Foxworth;Prophecy ;5.4;1979.0
2955;Franklin J. Schaffner;Laurence Olivier;Anne Meara;Steve Guttenberg;The Boys from Brazil ;7.0;1978.0
2968;Bob Rafelson;Anjelica Huston;Michael Lerner;John Colicos;The Postman Always Rings Twice ;6.6;1981.0
2970;Wolfgang Petersen;Jürgen Prochnow;Martin Semmelrogge;Herbert Grönemeyer;Das Boot ;8.4;1981.0
2989;Roger Spottiswoode;Robert Duvall;Treat Williams;Paul Gleason;The Pursuit of D.B. Cooper ;5.7;1981.0
3019;Mary Lambert;Miko Hughes;Fred Gwynne;Denise Crosby;Pet Sematary ;6.6;1989.0
3023;Joe Dante;Phoebe Cates;Harry Carey Jr.;Zach Galligan;Gremlins ;7.2;1984.0
3024;George Lucas;Harrison Ford;Peter Cushing;Kenny Baker;Star Wars: Episode IV - A New Hope ;8.7;1977.0
3026;David Lean;Julie Christie;Klaus Kinski;Geraldine Chaplin;Doctor Zhivago ;8.0;1965.0
3034;David S. Ward;Corbin Bernsen;Tom Berenger;Rene Russo;Major League ;7.2;1989.0
3041;Mel Brooks;Madeline Kahn;Sid Caesar;Dom DeLuise;History of the World: Part I ;6.9;1981.0
3045;Norman Jewison;Sylvester Stallone;Peter Boyle;Rod Steiger;F.I.S.T. ;6.4;1978.0
3046;Tobe Hooper;Louise Fletcher;Bud Cort;William Bassett;Invaders from Mars ;5.5;1986.0
3048;Stanley Kubrick;Ryan O'Neal;Steven Berkoff;Hardy Krüger;Barry Lyndon ;8.1;1975.0
3066;Martin Ritt;Frank Finlay;Anthony Zerbe;Samantha Eggar;The Molly Maguires ;6.9;1970.0
3069;Tobe Hooper;Heather O'Rourke;Zelda Rubinstein;Craig T. Nelson;Poltergeist ;7.4;1982.0
3072;Giuliano Montaldo;John Cassavetes;Gena Rowlands;Britt Ekland;Machine Gun McCain ;6.2;1969.0
3079;Stanley Kubrick;Keir Dullea;Gary Lockwood;Glenn Beck;2001: A Space Odyssey ;8.3;1968.0
3080;Steven Spielberg;Henry Thomas;Dee Wallace;Peter Coyote;E.T. the Extra-Terrestrial ;7.9;1982.0
3092;Ivan Reitman;Bill Murray;Harold Ramis;Judge Reinhold;Stripes ;6.9;1981.0
3100;Martin Scorsese;Tom Cruise;Bill Cobbs;Mary Elizabeth Mastrantonio;The Color of Money ;7.0;1986.0
3101;Ken Annakin;Richard Burton;Richard Beymer;Eddie Albert;The Longest Day ;7.8;1962.0
3106;Stephen Herek;Keanu Reeves;George Carlin;Al Leong;Bill & Ted's Excellent Adventure ;6.9;1989.0
3107;Carol Reed;Oliver Reed;Ron Moody;Jack Wild;Oliver! ;7.5;1968.0
3110;George Miller;Tina Turner;Bruce Spence;Angelo Rossitto;Mad Max Beyond Thunderdome ;6.2;1985.0
3111;Mark L. Lester;Bill Duke;Vernon Wells;Rae Dawn Chong;Commando ;6.7;1985.0
3116;Michael Schultz;Mike Starr;Vanity;Keshia Knight Pulliam;The Last Dragon ;6.9;1985.0
3122;Joe Dante;Albert Brooks;Al Leong;Vic Morrow;Twilight Zone: The Movie ;6.5;1983.0
3123;Rowdy Herrington;Ben Gazzara;Kevin Tighe;Kelly Lynch;Road House ;6.5;1989.0
3128;Francis Ford Coppola;Tom Cruise;William Smith;Tom Waits;The Outsiders ;7.2;1983.0
3130;David Cronenberg;Tom Skerritt;Herbert Lom;Anthony Zerbe;The Dead Zone ;7.2;1983.0
3137;Joseph Zito;Billy Drago;Richard Lynch;Eddie Jones;Invasion U.S.A. ;5.3;1985.0
3148;Walter Hill;Dennis Quaid;David Carradine;Randy Quaid;The Long Riders ;7.1;1980.0
3166;Brian De Palma;Melanie Griffith;Dennis Franz;Gregg Henry;Body Double ;6.8;1984.0
3183;Allan Arkush;Bernadette Peters;Randy Quaid;Christopher Guest;Heartbeeps ;4.2;1981.0
3195;Harley Cokeliss;Cliff Robertson;Tracey Walter;Dennis Burkley;Malone ;5.6;1987.0
3200;Franklin J. Schaffner;Frank Langella;William Hootkins;John Gielgud;Sphinx ;5.2;1981.0
3262;Lewis Gilbert;Donald Pleasence;Burt Kwouk;Desmond Llewelyn;You Only Live Twice ;6.9;1967.0
3265;Gary Sherman;Tom Skerritt;Heather O'Rourke;Zelda Rubinstein;Poltergeist III ;4.5;1988.0
3267;Stanley Kramer;Jonathan Winters;Sid Caesar;Spencer Tracy;It's a Mad, Mad, Mad, Mad World ;7.6;1963.0
3269;Gerald Potterton;John Vernon;Joe Flaherty;Don Francks;Heavy Metal ;6.7;1981.0
3277;Ridley Scott;Tom Skerritt;Yaphet Kotto;Bolaji Badejo;Alien ;8.5;1979.0
3278;Tobe Hooper;Gunnar Hansen;Edwin Neal;Marilyn Burns;The Texas Chain Saw Massacre ;7.5;1974.0
3280;Norman Jewison;Topol;Paul Michael Glaser;Rosalind Harris;Fiddler on the Roof ;8.0;1971.0
3281;Terence Young;Desmond Llewelyn;Earl Cameron;Lois Maxwell;Thunderball ;7.0;1965.0
3286;Tom Holland;Catherine Hicks;Alex Vincent;Dinah Manoff;Child's Play ;6.5;1988.0
3293;John Landis;Don Ameche;Denholm Elliott;Ralph Bellamy;Trading Places ;7.5;1983.0
3296;Kenneth Branagh;Brian Blessed;Derek Jacobi;Danny Webb;Henry V ;7.7;1989.0
3304;Stewart Raffill;Anjelica Huston;John Carradine;Robert Urich;The Ice Pirates ;5.7;1984.0
3323;Peter Faiman;Paul Hogan;Linda Kozlowski;David Gulpilil;Crocodile Dundee ;6.5;1986.0
3331;Joel Schumacher;Dianne Wiest;Jami Gertz;Jason Patric;The Lost Boys ;7.2;1987.0
3333;Mark Rydell;David Keith;Frederic Forrest;Alan Bates;The Rose ;6.9;1979.0
3335;Roger Vadim;Jane Fonda;David Hemmings;Milo O'Shea;Barbarella ;5.9;1968.0
3345;Herbert Ross;Dianne Wiest;Chris Penn;Lori Singer;Footloose ;6.5;1984.0
3351;John G. Avildsen;Martin Kove;William Zabka;William Bassett;The Karate Kid ;7.2;1984.0
3352;Mervyn LeRoy;Peter Ustinov;Deborah Kerr;Robert Taylor;Quo Vadis ;7.2;1951.0
3356;James Frawley;Madeline Kahn;Jim Henson;Dom DeLuise;The Muppet Movie ;7.7;1979.0
3359;Robert Wise;Eleanor Parker;Angela Cartwright;Nicholas Hammond;The Sound of Music ;8.0;1965.0
3360;Ron Howard;Tom Hanks;Howard Morris;Patrick Cronin;Splash ;6.2;1984.0
3362;Rob Reiner;Marshall Bell;Frances Lee McCain;Casey Siemaszko;Stand by Me ;8.1;1986.0
